Activity(1 hour),130 lb,155 lb,180 lb,205 lb,1 lb
"Swimming, treading water, fast, vigorous",590,704,817,931,4.540187331
"Swimming, treading water, moderate",236,281,327,372,1.814897164
"Water aerobics, water calisthenics",236,281,327,372,1.814897164
Water polo,590,704,817,931,4.540187331
Water volleyball,177,211,245,279,1.361228876
Water jogging,472,563,654,745,3.632626743
"Diving, springboard or platform",177,211,245,279,1.361228876
"Ice skating, < 9 mph",325,387,449,512,2.497194903
"Ice skating, average speed",413,493,572,651,3.177738943
"Ice skating, rapidly",531,633,735,838,4.084906141
"Speed skating, ice, competitive",885,1056,1226,1396,6.810365686
"Cross country snow skiing, slow",413,493,572,651,3.177738943
"Cross country skiing, moderate",472,563,654,745,3.632626743
"Cross country skiing, vigorous",531,633,735,838,4.084906141
"Cross country skiing, racing",826,985,1144,1303,6.355084495
"Cross country skiing, uphill",974,1161,1348,1536,7.491050522
"Snow skiing, downhill skiing, light",295,352,409,465,2.270178354
"Downhill snow skiing, moderate",354,422,490,558,2.722457752
"Downhill snow skiing, racing",472,563,654,745,3.632626743
"Sledding, tobagganing, luge",413,493,572,651,3.177738943
Snow shoeing,472,563,654,745,3.632626743
Snowmobiling,207,246,286,326,1.589634314
General housework,207,246,286,326,1.589634314
Cleaning gutters,295,352,409,465,2.270178354
Painting,266,317,368,419,2.044915505
"Sit, playing with animals",148,176,204,233,1.135966027
"Walk / run, playing with animals",236,281,327,372,1.814897164
Bathing dog,207,246,286,326,1.589634314
"Mowing lawn, walk, power mower",325,387,449,512,2.497194903
"Mowing lawn, riding mower",148,176,204,233,1.135966027
"Walking, snow blower",207,246,286,326,1.589634314
"Riding, snow blower",177,211,245,279,1.361228876
Shoveling snow by hand,354,422,490,558,2.722457752
Raking lawn,254,303,351,400,1.952476094
"Gardening, general",236,281,327,372,1.814897164
"Bagging grass, leaves",236,281,327,372,1.814897164
Watering lawn or garden,89,106,123,140,0.683686629
"Weeding, cultivating garden",266,317,368,419,2.044915505
"Carpentry, general",207,246,286,326,1.589634314
Carrying heavy loads,472,563,654,745,3.632626743
Carrying moderate loads upstairs,472,563,654,745,3.632626743
General cleaning,207,246,286,326,1.589634314
"Cleaning, dusting",148,176,204,233,1.135966027
Taking out trash,177,211,245,279,1.361228876
"Walking, pushing a wheelchair",236,281,327,372,1.814897164
"Teach physical education,exercise class",236,281,327,372,1.814897164
Teach exercise classes (& participate),384,457,531,605,2.950863191
